id,question,label,category
1,개인사업자를 운영하고 있는데 매번 부가가치세 신고 시기가 헷갈려요. 보통 언제까지 신고를 해야 하는 건가요?,true,부가가치세
2,"매출이 크지 않은 편이라 간이과세자에 해당할 것 같기도 한데, 간이과세자 기준이 정확히 어떻게 되는지 알고 싶어요.",true,부가가치세
3,거래는 했는데 세금계산서를 발행하지 못한 건이 있어요. 이런 경우 나중에 가산세 같은 불이익이 생기나요?,true,부가가치세
4,"현재 직장을 다니지는 않고 프리랜서로 일하고 있는데, 이런 경우에도 종합소득세 신고를 꼭 해야 하나요?",true,소득세
5,"프리랜서로 여러 군데에서 수입이 발생했는데, 이 소득들을 모두 합쳐서 종합소득세 신고를 해야 하는 건가요?",true,소득세
6,연말정산을 하다 보니 신용카드 공제 한도가 궁금해졌어요. 어느 정도까지 공제가 가능한가요?,true,소득세
7,"회사에서 월급을 받을 때 원천징수를 하는데, 이 세율은 어떤 기준으로 정해지는 건지 알고 싶어요.",true,원천징수
8,"퇴직을 하게 되면 퇴직소득세는 언제, 어떤 방식으로 납부하게 되는 건가요?",true,소득세
9,법인을 운영 중인데 법인세 신고 기한이 언제까지인지 정확히 알고 싶어요.,true,법인세
10,"중소기업에 해당하면 법인세 감면을 받을 수 있다고 들었는데, 어떤 조건을 충족해야 하나요?",true,법인세
11,부모님 재산을 상속받을 가능성이 있어서 상속세가 얼마나 나오는지 걱정돼요. 어느 정도까지 면제가 되나요?,true,상속세
12,"가족에게 재산을 증여하려고 하는데, 증여세 신고는 증여일 기준으로 언제까지 해야 하나요?",true,증여세
13,부동산을 증여받으면 증여세 말고도 취득세를 추가로 내야 하는 건가요?,true,증여세
14,집을 팔 계획이 있는데 양도소득세는 어떤 방식으로 계산되는지 알고 싶어요.,true,양도소득세
15,"1가구 1주택이면 양도세가 비과세라고 들었는데, 적용받기 위한 조건이 무엇인가요?",true,양도소득세
16,"주변에서 세무조사를 받았다는 이야기를 들었는데, 보통 어떤 경우에 세무조사가 나오게 되나요?",true,세무조사
17,"세금을 제때 못 내면 체납으로 처리된다고 하던데, 실제로 어떤 불이익이 생기나요?",true,체납/징수
18,"세금 관련해서 가산세와 과태료가 있다고 들었는데, 이 둘은 어떤 차이가 있는 건가요?",true,가산세
19,개인사업자를 시작하려고 하는데 사업자 등록은 언제까지 해야 하는 건지 궁금해요.,true,사업자등록
20,이미 사업을 접었는데 폐업 신고를 하지 않으면 나중에 문제가 될 수 있나요?,true,사업자등록
21,"면세사업자와 과세사업자의 차이가 헷갈리는데, 세금 측면에서 어떤 차이가 있는 건가요?",true,부가가치세
22,"전자세금계산서를 꼭 발행해야 하는지, 모든 사업자에게 의무인지 알고 싶어요.",true,부가가치세
23,현금영수증을 발행하지 않으면 처벌을 받을 수 있다는 얘기를 들었는데 사실인가요?,true,부가가치세
24,"회사를 중도에 퇴사했는데, 이런 경우 연말정산은 어떻게 처리해야 하나요?",true,소득세
25,"법인 대표로 급여를 받고 있는데, 이 급여도 회사 비용으로 처리되는 건가요?",true,법인세
26,회사에서 업무용 차량을 사용하는데 관련 비용은 전부 비용 처리가 가능한지 궁금해요.,true,법인세
27,"세무대리인을 꼭 써야 하는 건지, 혼자서도 신고가 가능한지 알고 싶어요.",true,세무일반
28,기장 의무자가 어떤 기준으로 나뉘는지 잘 모르겠어요. 매출 규모로 정해지나요?,true,세무일반
29,"부가세 환급이 나온다고 하는데, 보통 언제쯤 받을 수 있는 건가요?",true,부가가치세
30,"간편장부랑 복식부기는 어떤 차이가 있고, 어떤 걸 써야 하는지 궁금해요.",true,세무일반
31,이혼을 고민 중인데 재산분할은 보통 어떤 기준으로 정해지는지 알고 싶어요.,false,가사/민법
32,"전세 계약이 곧 끝나는데, 집주인 연락이 없으면 자동으로 연장되는 건가요?",false,부동산/임대차
33,회사를 그만두게 되면 실업급여는 바로 신청해서 받을 수 있는 건지 궁금해요.,false,노무
34,"주식 단기 매매를 해보고 싶은데, 보통 어떤 전략들이 있는지 알고 싶어요.",false,투자
35,"부동산 경매에 관심이 있는데, 초보자가 참여하려면 절차가 어떻게 되나요?",false,부동산
36,노무사와 세무사는 어떤 역할 차이가 있는지 잘 모르겠어요.,false,직업정보
37,개인회생과 파산 중 어떤 선택이 더 나은지 상황별로 차이가 있나요?,false,법률
38,직원을 고용하면 4대 보험은 언제부터 가입해야 하는 건가요?,false,노무
39,퇴직금을 계산할 때 어떤 기준으로 금액이 산정되는지 알고 싶어요.,false,노무
40,월세로 살고 있는데 세입자의 권리는 어떤 법으로 보호받을 수 있나요?,false,부동산
41,"해외 주식 투자를 시작하려고 하는데, 기본적인 방법이 궁금해요.",false,투자
42,근로계약서를 작성하지 않으면 회사나 근로자에게 문제가 생기나요?,false,노무
43,상가임대차 보호법은 어떤 경우에 적용되는지 알고 싶어요.,false,법률
44,부동산 중개 수수료는 보통 누가 부담하게 되는 건가요?,false,부동산
45,"주식 배당금은 언제 지급되는지, 정해진 시기가 있는지 궁금해요.",false,투자
46,"연봉 협상을 앞두고 있는데, 보통 어떤 타이밍에 하는 게 좋은가요?",false,커리어
47,프리랜서 계약서를 쓸 때 꼭 확인해야 할 조항이 뭐가 있을까요?,false,법률
48,법인을 처음 설립하려고 하는데 절차가 많이 복잡한 편인가요?,false,창업
49,사업 아이디어는 있는데 실제로 수익이 날지 판단하는 방법이 있을까요?,false,창업
50,부동산 투자를 할 때 입지 분석은 보통 어떤 기준으로 하나요?,false,부동산
51,최근에 연봉이 올랐는데 월급 명세서를 보니까 세금도 같이 많이 늘어난 것 같아요. 원래 이런 구조인가요?,ambiguous,소득/세무혼합
52,"주변에서 법인을 만들면 절세가 된다고 하던데, 실제로 그런 장점이 있는지 궁금해요.",ambiguous,법인/세무전략
53,"프리랜서로 일한 뒤 건강보험료가 갑자기 많이 나와서 놀랐는데, 왜 이런 건가요?",ambiguous,사회보험/세무
54,해외에서 벌어들인 소득도 한국에 거주하면 신고 대상이 되는지 궁금해요.,ambiguous,국제/세무
55,사업자 등록을 하지 않고 일을 하면 나중에 문제가 생길 수 있는 건가요?,ambiguous,사업/세무혼합
56,"부동산 명의를 가족에게 바꾸려고 하는데, 세금이나 법적인 문제가 생길 수 있을까요?",ambiguous,부동산/증여
57,"현금으로 거래하면 기록이 안 남는다고 들었는데, 세무상 문제가 없는지 걱정돼요.",ambiguous,탈세위험
58,퇴직 후 받는 퇴직금 말고 다른 돈에도 세금이 붙는 건가요?,ambiguous,퇴직/세무
59,개인사업자와 프리랜서 중 어떤 형태가 더 유리한지 고민 중이에요.,ambiguous,사업형태/세무
60,부업으로 번 돈도 금액이 적어도 신고를 해야 하는 건가요?,ambiguous,소득/세무
61,중고거래를 하면서 생긴 수익도 세금 신고 대상이 되는지 궁금해요.,ambiguous,기타소득
62,유튜브를 시작했는데 수익이 나기 시작하면 세무 관리는 어떻게 해야 하나요?,ambiguous,콘텐츠/세무
63,"가상자산 거래를 하고 있는데, 코인 수익도 세금 신고 대상인지 헷갈려요.",ambiguous,가상자산/세무
64,상속받은 집을 바로 팔면 세금 문제가 생길 수 있는지 걱정돼요.,ambiguous,상속/양도
65,회사를 그만두고 프리랜서로 전환하면 세금이나 보험에서 뭐가 달라지나요?,ambiguous,노무/세무
66,사업자가 직원에게 식대를 지급할 경우 이 비용을 전부 경비로 처리할 수 있는지 궁금해요.,true,법인세/비용처리
67,업무상 접대비로 사용한 금액은 어느 범위까지 비용으로 인정되나요?,true,법인세/접대비
68,개인사업자로 차량을 사용하는데 유지비를 어디까지 경비로 처리할 수 있는지 알고 싶어요.,true,소득세/경비
69,"부가세 예정신고를 꼭 해야 하는 건지, 안 하면 불이익이 있는지 궁금해요.",true,부가가치세
70,세금 신고 기한을 놓치면 가산세는 어떤 기준으로 계산되나요?,true,가산세
71,해외 거래처에 송금을 했는데 이런 경우에도 세무 신고가 필요한 건가요?,true,국제거래/세무
72,매출이 거의 없었던 기간에도 부가세 신고를 꼭 해야 하는지 헷갈려요.,true,부가가치세
73,공동사업을 하고 있는데 소득은 어떤 기준으로 나누어 신고해야 하나요?,true,소득세
74,은행 이자처럼 발생한 이자소득도 종합소득세 신고에 포함되나요?,true,소득세
75,현물로 출자를 하게 되면 세금 문제가 생길 수 있는지 궁금해요.,true,법인세
76,법인 명의 카드로 결제한 내역은 전부 증빙 자료로 인정받을 수 있나요?,true,법인세/증빙
77,사업용 계좌를 꼭 따로 개설해야 하는지 궁금해요.,true,세무일반
78,부가세 매입세액 공제가 안 되는 경우에는 어떤 사례들이 있나요?,true,부가가치세
79,이미 폐업을 했는데도 나중에 세무조사를 받을 수 있는지 걱정돼요.,true,세무조사
80,가족에게 급여를 지급하면 세무상 비용으로 인정받을 수 있는지 궁금해요.,true,소득세/법인세
81,프리랜서로 일하면서 계약서를 작성하지 않아도 법적으로 문제가 없을까요?,false,법률
82,퇴사 후에 국민연금이 자동으로 지역가입자로 전환되는지 궁금해요.,false,사회보험
83,상가를 임대할 때 권리금은 반드시 지급해야 하는 건가요?,false,부동산
84,주식 장기 투자와 단기 투자의 차이를 쉽게 설명해줄 수 있나요?,false,투자
85,스타트업 초기 멤버들끼리 지분은 보통 어떻게 나누는 게 좋을까요?,false,창업
86,프리랜서 소득이 점점 늘어나면 세금이나 보험에서 어떤 점들이 달라지나요?,ambiguous,소득/세무
87,회사에서 받은 복지 포인트도 소득으로 잡혀서 세금이 붙는 건가요?,ambiguous,근로소득/세무
88,부동산을 여러 채 보유하고 있으면 세금이나 규제 측면에서 불이익이 있나요?,ambiguous,부동산/세무
89,"부모님에게 생활비를 받았는데, 이런 것도 증여로 문제가 될 수 있나요?",ambiguous,증여/생활비
90,사업 초기에 적자가 나더라도 세금 신고는 꼭 해야 하는 건가요?,ambiguous,사업/세무
91,유튜브 수익이 아직 크지 않은데도 세금 신고를 해야 하는지 헷갈려요.,ambiguous,기타소득/세무
92,해외 직구를 자주 하면 세무서에서 따로 연락이 오는 경우도 있나요?,ambiguous,관세/세무
93,코인 에어드랍으로 받은 수익도 과세 대상인지 궁금해요.,ambiguous,가상자산/세무
94,퇴직금 외에 회사에서 받은 위로금에도 세금이 붙는 건가요?,ambiguous,퇴직/세무
95,법인 카드로 개인적인 물건을 샀을 때 세무상 문제가 생길 수 있나요?,ambiguous,법인/세무리스크
96,중고차를 개인 간 거래로 구매하려고 하는데 이전 절차가 복잡한 편인가요?,false,생활정보
97,회사에서 직장 내 괴롭힘을 당했을 때 어디에 신고해야 하나요?,false,노무
98,월급을 현금으로 받는 경우에도 법적으로 문제가 없는지 궁금해요.,ambiguous,근로/세무리스크
99,개인 명의 통장으로 사업 매출을 받아도 괜찮은 건지 걱정돼요.,ambiguous,사업/세무리스크
100,부모님 명의로 집을 사주는 경우 세금이나 법적인 문제가 생길 수 있을까요?,ambiguous,부동산/증여
101,"아까 설명해준 내용이 조금 어려웠는데, 핵심만 다시 요약해서 설명해줄 수 있을까요?",false,conversation_reference
102,방금 이야기해준 내용 중 두 번째 부분이 잘 이해가 안 돼서 다시 설명해줬으면 해요.,false,conversation_reference
103,"앞에서 말한 내용이 기억이 잘 안 나는데, 다시 한 번 정리해줄 수 있나요?",false,conversation_reference
104,위에서 설명한 예시를 기준으로 다시 한 번 설명해주면 좋겠어요.,false,conversation_reference
105,조금 더 쉽게 풀어서 설명해줄 수 있을까요?,false,meta_request
106,그럼 지금 상황에서는 어떤 선택이 맞는 건지 다시 설명해줄 수 있나요?,false,context_followup
107,제가 말한 조건을 기준으로 다시 설명해주면 이해가 더 잘 될 것 같아요.,false,context_followup
108,앞에서 설명한 장단점 중에서 단점만 정리해서 알려줄 수 있나요?,false,meta_request
109,이전에 설명한 내용이랑 지금 설명한 내용의 차이가 뭐예요?,false,conversation_reference
110,지금 이야기한 내용을 한 줄로 요약하면 어떻게 되나요?,false,meta_request
111,"세무 얘기는 잠시 빼고, 방금 설명한 내용 기준으로 다시 말해줄 수 있나요?",false,conversation_reference
112,그 부분에 대한 예시를 하나만 더 들어주면 좋겠어요.,false,context_followup
113,왜 그런 결론이 나오는지 논리적으로 설명해줄 수 있나요?,false,meta_request
114,아까 설명한 내용 중에서 핵심만 뽑아서 다시 정리해줘요.,false,conversation_reference
115,이전 답변이랑 연결해서 다시 설명해주면 좋겠어요.,false,context_followup
116,그럼 지금까지 이야기한 내용을 기준으로 결론만 말해주면 뭐가 될까요?,false,meta_request
117,앞에서 말한 세 가지 포인트만 다시 정리해줄 수 있나요?,false,conversation_reference
118,조금 전에 설명한 내용을 예시 중심으로 다시 풀어서 설명해줘요.,false,context_followup
119,아까 설명한 방식 말고 다른 접근 방법도 있는지 궁금해요.,false,meta_request
120,지금까지 이야기한 내용을 정리해서 표 형태로 보여줄 수 있나요?,false,meta_request
